측정일시,SO2,CO,O3,NO2,PM10,PM25
2021101101,0.0009444444444444445,0.275,0.028777777777777777,0.005211111111111111,18.875,5.777777777777778
2021101102,0.0009444444444444445,0.2888888888888889,0.025555555555555557,0.0059,17.666666666666668,5.444444444444445
2021101103,0.0011666666666666668,0.3,0.023,0.0061,19.0,6.111111111111111
2021101104,0.0011666666666666668,0.2875,0.023777777777777776,0.005577777777777778,20.333333333333332,6.555555555555555
2021101105,0.0011666666666666668,0.375,0.034444444444444444,0.004688888888888889,24.0,7.333333333333333
2021101106,0.0012777777777777779,0.36250000000000004,0.03411111111111111,0.0051,23.11111111111111,8.666666666666666
2021101107,0.0010555555555555555,0.3625,0.03266666666666666,0.006077777777777777,27.333333333333332,10.444444444444445
2021101108,0.0011666666666666668,0.375,0.031222222222222224,0.006877777777777778,26.333333333333332,10.333333333333334
2021101109,0.0012777777777777779,0.375,0.031000000000000003,0.006988888888888888,26.0,10.444444444444445
2021101110,0.001388888888888889,0.375,0.03177777777777778,0.007711111111111111,27.77777777777778,8.777777777777779
2021101111,0.0014500000000000001,0.34444444444444444,0.0359,0.00651,27.3,10.3
2021101112,0.00125,0.33999999999999997,0.04,0.00591,26.6,10.2
2021101113,0.00125,0.34444444444444444,0.0414,0.0056300000000000005,25.6,9.2
2021101114,0.00125,0.33999999999999997,0.0422,0.0057,23.6,8.8
2021101115,0.00136,0.33999999999999997,0.0414,0.007240000000000001,21.666666666666668,8.2
2021101116,0.00115,0.32,0.042499999999999996,0.00623,21.7,8.6
2021101117,0.00125,0.3,0.038900000000000004,0.00762,21.2,8.4
2021101118,0.00125,0.31,0.0376,0.007869999999999999,21.2,8.7
2021101119,0.00115,0.3222222222222222,0.0365,0.00805,23.2,8.3
2021101120,0.00115,0.31,0.0334,0.00843,20.1,8.7
2021101121,0.00115,0.3222222222222222,0.0312,0.008549999999999999,21.9,9.5
2021101122,0.0010500000000000002,0.3111111111111111,0.030199999999999998,0.00828,22.4,8.7
2021101123,0.00095,0.3111111111111111,0.029099999999999997,0.008,18.7,7.8
2021101124,0.0009400000000000001,0.30000000000000004,0.0299,0.0063,16.4,5.8
2021101201,0.00095,0.325,0.029199999999999997,0.00584,12.1,4.5
2021101202,0.00095,0.3111111111111111,0.0295,0.00547,12.3,4.0
2021101203,0.0010500000000000002,0.3111111111111111,0.029099999999999997,0.00538,15.2,4.4
2021101204,0.0010500000000000002,0.30000000000000004,0.028800000000000003,0.00503,14.6,5.111111111111111
2021101205,0.0010500000000000002,0.30000000000000004,0.03,0.00499,13.5,4.9
2021101206,0.00104,0.26666666666666666,0.0333,0.0054800000000000005,16.3,4.0
2021101207,0.0008500000000000001,0.275,0.0335,0.00611,18.8,4.4
2021101208,0.00095,0.2555555555555556,0.0324,0.0064,20.9,5.7
2021101209,0.00095,0.26666666666666666,0.0333,0.0064,22.2,6.2
